# ----------------------------------------
# Demographic details: Country
# Account: AI TECH LABS
# Property: AI_Fusion
# ----------------------------------------
# 
# All Users
# Start date: 20260819
# End date: 20260820
Country,Date,Active users,New users,Engaged sessions,Engagement rate,Engaged sessions per active user,Average engagement time per active user,Event count,Key events,User key event rate,Total revenue
Kenya,20260820,572,293,594,0.8193103448275862,1.0384615384615385,161.32517482517483,21877,4803,0.9125874125874126,5.004339
Rwanda,20260819,572,253,723,0.8348729792147807,1.263986013986014,165.94230769230768,19914,3912,0.9982517482517482,7.590008
United States,20260820,558,265,583,0.8340486409155937,1.0448028673835126,191.37455197132616,27107,7822,0.921146953405018,235.213477
Algeria,20260820,552,275,554,0.7466307277628033,1.0036231884057971,193.3822463768116,27190,5613,0.9402173913043478,2.804726
Türkiye,20260819,540,435,423,0.6166180758017493,0.7833333333333333,82.07222222222222,17381,4831,0.9981481481481481,11.294496
Papua New Guinea,20260820,527,251,559,0.8707165109034268,1.060721062618596,124.64326375711575,16251,3078,0.9222011385199241,6.62463
Congo - Kinshasa,20260819,495,244,519,0.7654867256637168,1.0484848484848486,192.77373737373736,21574,4581,1,5.774491
Rwanda,20260820,481,187,545,0.8320610687022901,1.133056133056133,141.07484407484407,16242,3117,0.8918918918918919,5.238221
Philippines,20260819,424,358,464,0.85451197053407,1.0943396226415094,172.74764150943398,22953,5906,0.9976415094339622,10.718212
Philippines,20260820,421,320,436,0.8755020080321285,1.03562945368171,157.18052256532067,20634,5142,0.9548693586698337,11.255997
Colombia,20260820,416,301,323,0.6408730158730159,0.7764423076923077,62.67548076923077,9310,2620,0.9350961538461539,5.376068
Ethiopia,20260820,389,64,382,0.7290076335877863,0.9820051413881749,160.7095115681234,11792,2262,0.9254498714652957,1.840145
Congo - Kinshasa,20260820,387,112,378,0.769857433808554,0.9767441860465116,156.76485788113695,13493,2699,0.8888888888888888,3.504523
Liberia,20260819,378,127,404,0.7829457364341085,1.0687830687830688,143.484126984127,11580,2492,1,3.832525
Niger,20260819,370,195,411,0.802734375,1.1108108108108108,147.6081081081081,14840,3095,0.9972972972972973,5.43114
Benin,20260819,359,158,407,0.74,1.1337047353760445,191.5682451253482,15261,3519,1,5.67782
Burkina Faso,20260819,356,71,308,0.5800376647834274,0.8651685393258427,85.56460674157303,6729,1459,0.9943820224719101,2.025415
Mexico,20260819,349,240,378,0.7544910179640718,1.0830945558739256,264.8223495702006,30232,5555,0.9799426934097422,24.561786
Saudi Arabia,20260819,345,233,345,0.7026476578411406,1,165.7594202898551,19122,5119,1,24.273004
Ghana,20260819,340,186,356,0.8054298642533937,1.0470588235294118,170.1764705882353,14349,3330,1,6.942874
Haiti,20260819,333,176,437,0.8568627450980392,1.3123123123123124,299.78678678678676,21460,4430,0.996996996996997,4.868422
Uzbekistan,20260819,330,222,380,0.8351648351648352,1.1515151515151516,178.11212121212122,19827,4747,1,6.213972
Saudi Arabia,20260820,326,212,295,0.6973995271867612,0.9049079754601227,151.659509202454,14790,4017,0.9631901840490797,15.690801
Togo,20260819,325,180,394,0.8400852878464818,1.2123076923076923,162.04615384615386,13558,3080,1,4.221089
Niger,20260820,323,136,328,0.7772511848341233,1.0154798761609907,143.41795665634675,12000,2569,0.8823529411764706,4.001671
Tunisia,20260819,323,202,360,0.8237986270022883,1.1145510835913313,258.1114551083591,22279,5232,1,3.690043
Madagascar,20260819,317,156,385,0.8261802575107297,1.2145110410094637,163.06309148264984,12987,2482,0.9968454258675079,2.65541
Azerbaijan,20260820,314,236,237,0.6601671309192201,0.7547770700636943,89.6687898089172,9945,2653,0.9617834394904459,3.032256
Benin,20260820,313,138,328,0.7610208816705336,1.0479233226837061,176.12460063897763,12539,2705,0.9233226837060703,3.849196
Venezuela,20260820,310,168,330,0.8943089430894309,1.064516129032258,217.79677419354837,16686,3868,0.9096774193548387,2.846916
Venezuela,20260819,307,212,337,0.7873831775700935,1.0977198697068404,183.91530944625407,16106,3851,0.993485342019544,2.732605
Togo,20260820,298,140,335,0.8567774936061381,1.1241610738255035,183.00335570469798,12853,2726,0.9060402684563759,3.765596
Sudan,20260819,296,137,328,0.7772511848341233,1.1081081081081081,173.07432432432432,12215,2695,0.9966216216216216,3.408126
Bangladesh,20260819,293,104,326,0.7071583514099783,1.1126279863481228,109.60750853242321,9640,2151,0.9897610921501706,2.218135
Azerbaijan,20260819,286,254,224,0.656891495601173,0.7832167832167832,101.95804195804196,9524,2703,1,2.70904
Uzbekistan,20260820,285,158,315,0.8377659574468085,1.105263157894737,163.43157894736842,15914,3865,0.9649122807017544,5.040765
Sri Lanka,20260819,277,183,305,0.800524934383202,1.1010830324909748,181.4693140794224,12494,2892,1,3.074143
South Sudan,20260819,276,100,285,0.753968253968254,1.0326086956521738,122.76086956521739,8054,1686,1,3.212618
Congo - Brazzaville,20260819,273,155,295,0.7951482479784366,1.0805860805860805,214.11721611721612,10798,2175,0.9853479853479854,2.395497
United Arab Emirates,20260820,273,199,220,0.7051282051282052,0.8058608058608059,116.43589743589743,10948,3168,0.9487179487179487,12.647768
Chad,20260819,268,161,293,0.8005464480874317,1.0932835820895523,168.4589552238806,13016,2994,1,4.512215
Cameroon,20260819,265,74,305,0.7721518987341772,1.150943396226415,193.1320754716981,9328,1828,0.9962264150943396,5.033506
Mexico,20260820,258,155,251,0.8044871794871795,0.9728682170542635,188.2015503875969,13052,3528,0.9534883720930233,8.478641
Liberia,20260820,254,84,255,0.8095238095238095,1.0039370078740157,131.51181102362204,7652,1731,0.8976377952755905,2.924038
Somalia,20260820,252,131,274,0.8753993610223643,1.0873015873015872,161.31349206349208,12189,2699,0.9444444444444444,2.706636
Sudan,20260820,252,116,263,0.7993920972644377,1.0436507936507937,201.97619047619048,12730,2990,0.9484126984126984,3.165266
Madagascar,20260820,251,101,283,0.8348082595870207,1.1274900398406376,146.5617529880478,9689,1954,0.8764940239043825,1.937579
Oman,20260820,247,199,169,0.6282527881040892,0.6842105263157895,87.02834008097166,7427,2096,0.9595141700404858,3.886729
Sri Lanka,20260820,241,145,243,0.788961038961039,1.008298755186722,157.47717842323652,10328,2412,0.9377593360995851,2.834815
United Arab Emirates,20260819,239,203,224,0.7320261437908496,0.9372384937238494,137.81171548117155,11174,3190,1,10.256301
Ghana,20260820,237,94,263,0.8167701863354038,1.109704641350211,201.52320675105486,11182,2442,0.8945147679324894,6.639924
Germany,20260819,231,122,250,0.7886435331230284,1.0822510822510822,160.8008658008658,11710,2896,0.9653679653679653,14.939595
Somalia,20260819,229,138,259,0.8274760383386581,1.1310043668122272,150.8471615720524,11132,2310,1,3.970406
Chad,20260820,226,109,243,0.8617021276595744,1.075221238938053,167.0796460176991,10657,2505,0.8849557522123894,3.382997
Malaysia,20260820,226,175,171,0.6812749003984063,0.7566371681415929,106.66371681415929,8857,2261,0.9601769911504425,28.528418
France,20260820,221,133,226,0.8218181818181818,1.0226244343891402,207.86425339366517,12152,3380,0.9547511312217195,17.592207
Bangladesh,20260820,220,69,217,0.7114754098360656,0.9863636363636363,100.49545454545455,7342,1743,0.9545454545454546,1.734045
Cameroon,20260820,219,83,239,0.7913907284768212,1.091324200913242,177.675799086758,8301,1608,0.9041095890410958,2.187818
Burkina Faso,20260820,218,35,184,0.5696594427244582,0.8440366972477065,80.08256880733946,3784,777,0.8944954128440367,1.174348
Haiti,20260820,218,104,246,0.8754448398576512,1.128440366972477,219.63302752293578,10030,2081,0.8944954128440367,3.542512
